Month,Incident_Number,Incident_date,Offender_Race,Offense_Name,Offense_Location,Bias,Victim_Type,Day_of_Week,Total_Victims,Total_Offenders
January,2017-241137,2017-01-01,White/Not Hispanic,Aggravated Assault,Park/Playground,Anti-Black or African American,Individual,Sunday,1,1
February,2017-580344,2017-02-01,Black or African American/Not Hispanic,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,Wednesday,1,1
March,2017-800291,2017-03-21,Unknown,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Other,Tuesday,0,0
April,2017-1021534,2017-04-12,White/Unknown,Simple Assault,Air/Bus/Train Terminal,Anti-Jewish,Individual,Wednesday,0,0
May,2017-1351550,2017-05-15,White/Not Hispanic,Simple Assault,Residence/Home,Anti-Gay (Male),Individual,Monday,1,3
June,2017-1550219,2017-06-04,White/Unknown ,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,Sunday,1,2
June,2017-1660914,2017-06-15,White/Not Hispanic,Intimidation,Bank/Savings and Loan,Anti-Hispanic or Latino,Individual,Thursday,1,1
June,2017-1681488,2017-06-17,White/Not Hispanic,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,Saturday,1,1
July,2017-1820275,2017-07-01,Group of Multiple Races,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,Saturday,1,1
July ,2017-1862526,2017-07-05,Group of Multiple Races,Intimidation,Residence/Home,Anti-Black or African American,Individual,Wednesday,1,1
July ,2017-2011198,2017-07-20,Group of Multiple Races,Robbery,Residence/Home,Anti-Transgender,Individual,Thursday,1,1
July ,2017-2020124,2017-07-21,White/Unknown,Destruction,Residence/Home,Anti-Gay (Male),Individual,Friday,1,1
October,2017-2880227,2017-10-15,White/Hispanic or Latino,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,Sunday,1,1
October,2017-2971392,2017-10-24,White/Hispanic or Latino,Intimidation,Residence/Home,Anti-Gay (Male),Individual,Tuesday,1,2
November ,2017-3141125,2017-11-10,White/Not Hispanic,Simple Assault,Restaurant,Anti-Islamic (Muslim),Individual,Friday,1,1
November ,2017-3200108,2017-11-16,White/Unknown,Simple Assault,Other/Unknown,Anti-Islamic (Muslim),Individual,Thursday,1,1
November ,2017-5043049,2017-11-26,Unknown,Intimidation,Parking/Drop Lot,Anti-Hispanic or Latino,Individual,Sunday,1,0
January,2018-251458,2018-01-25,White/NotHispanic,Burglary/Assault,Residence/Home,Anti-Lesbian,Individual,Thursday,2,1
January,2018-200595,2018-01-19,Unknown,Vandalism,Parking Lot/Garage,Anti-Black,Vehicle,Friday,0,0
February,2018-400447,2018-02-08,White/NotHispanic,Assault,Parking Lot/Garage,Anti-Gay,Individual,Thursday,1,1
February,2018-530804,2018-02-22,White/NotHispanic,Vandalism,Highway/Road/Street,Anti-Black,Individual,Thursday,1,1
March,2018-611809,2018-03-02,Black/Unknown,Assault,Highway/Road/Street,Anti-Hispanic,Individual,Friday,1,4
March,2018-651279,2018-03-06,White/NotHispanic,Vandalism,Convenience Store,Anti-Arab,Business,Tuesday,0,2
March,2018-670117,2018-03-08,White/NotHispanic,Assault,Highway/Road/Street,Anti-Black,Individual,Thursday,1,1
April,2018-911582,2018-04-01,White/NotHispanic,Intimidation,Parking Lot/Garage,Anti-Black,Individual,Sunday,1,1
April,2018-120696,2018-04-30,White/Hispanic,Assault,Streets/Highway/Road/Alley,Anti-White,Individual,Monday,1,1
May ,2018-1410057,2018-05-21,White/Hispanic,Assault,Bar/Nightclub,Anti-Gay,Individual,Monday,1,1
June,2018-1671923,2018-06-16,White/Hispanic,Assault,Parking Lot/Garage,Anti-Gay (Male),Individual,Saturday,1,1
June,2018-1791666,2018-06-28,White/NotHispanic,Assault,Convenience Store,Anti-Black,Individual,Thursday,1,1
August,2018-2250662,2018-08-13,White/NotHispanic,Assault,Residence/Home,Anti-Black,Individual,Monday,1,1
August,2018-5033471,2018-08-25,Asian/NotHispanic,Assault,Convenience Store,Anti-Black,Individual,Saturday,1,1
September,2018-2521623,2018-09-09,White/Hispanic,Theft,Bar/Nightclub,Anti-Disability,Individual,Sunday,1,1
September,2018-2531786,2018-09-11,White/NotHispanic,Aggravated Assault,Church/Synagogue,Anti-Black,Individual,Tuesday,1,1
October,2018-2840756,2018-10-11,White/NotHispanic,Assault,Park/Playground,Anti-Hispanic,Individual,Thursday,1,1
October,2018-2921720,2018-10-19,Black/NotHispanic,Assault,Highway/Road/Street,Anti-Transgender,Individual,Friday,1,1
December,2018-3491016,2018-12-15,White/Hispanic,Assault,Streets/Highway/Road/Alley,Anti-Hispanic,Individual,Saturday,1,1
